title,url,release_date,critic_score,audience_score
Nuts,https://www.rottentomatoes.com/m/nuts,"Released Dec 11, 1987",41%,71%
Sign 'o' the Times,https://www.rottentomatoes.com/m/sign_o_the_times,1987,82%,91%
Teen Wolf Too,https://www.rottentomatoes.com/m/teen_wolf_too,1987,8%,18%
Housekeeping,https://www.rottentomatoes.com/m/housekeeping,"Released Dec 25, 1987",93%,84%
"Planes, Trains and Automobiles",https://www.rottentomatoes.com/m/planes_trains_and_automobiles,"Released Nov 27, 1987",92%,87%
Three Men and a Baby,https://www.rottentomatoes.com/m/three_men_and_a_baby,1987,67%,48%
The Trouble With Spies,https://www.rottentomatoes.com/m/trouble_with_spies,1987,,17%
Walker,https://www.rottentomatoes.com/m/walker,1987,44%,66%
Cold Steel,https://www.rottentomatoes.com/m/cold_steel,1987,,11%
Throw Momma From the Train,https://www.rottentomatoes.com/m/throw_momma_from_the_train,"Released Dec 11, 1987",64%,54%
Wall Street,https://www.rottentomatoes.com/m/wall_street,"Released Dec 11, 1987",79%,81%
*batteries not Included,https://www.rottentomatoes.com/m/batteries_not_included,1987,65%,64%
The Dead,https://www.rottentomatoes.com/m/the_dead,"Released Dec 17, 1987",94%,77%
The Dead,https://www.rottentomatoes.com/m/dead,"Released Dec 17, 1987",94%,77%
Eddie Murphy Raw,https://www.rottentomatoes.com/m/eddie_murphy_raw,"Released Jan 1, 1987",78%,85%
Ironweed,https://www.rottentomatoes.com/m/ironweed,"Released Dec 18, 1987",60%,59%
Leonard Part 6,https://www.rottentomatoes.com/m/leonard_part_6,1987,7%,20%
Moonstruck,https://www.rottentomatoes.com/m/moonstruck,"Released Dec 18, 1987",89%,80%
Overboard,https://www.rottentomatoes.com/m/overboard,"Released Dec 16, 1987",46%,74%
September,https://www.rottentomatoes.com/m/september,2017,,
The Lonely Passion of Judith Hearne,https://www.rottentomatoes.com/m/the_lonely_passion_of_judith_hearne,"Released Dec 23, 1987",100%,77%
The Lonely Passion of Judith Hearne,https://www.rottentomatoes.com/m/lonely_passion_of_judith_hearne,"Released Dec 23, 1987",100%,77%
Broadcast News,https://www.rottentomatoes.com/m/broadcast_news,"Released Dec 16, 1987",98%,79%
Empire of the Sun,https://www.rottentomatoes.com/m/empire_of_the_sun,"Released Dec 9, 1987",77%,90%
"Good Morning, Vietnam",https://www.rottentomatoes.com/m/good_morning_vietnam,"Released Dec 23, 1987",90%,82%
Pinocchio and the Emperor of the Night,https://www.rottentomatoes.com/m/pinocchio_and_the_emperor_of_the_night,1987,43%,61%
Into the Homeland,https://www.rottentomatoes.com/m/into_the_homeland,1987,,
Rain Man,https://www.rottentomatoes.com/m/rain_man,"Released Dec 14, 1988",88%,90%
Who Framed Roger Rabbit,https://www.rottentomatoes.com/m/who_framed_roger_rabbit,"Released Jun 21, 1988",96%,85%
Coming to America,https://www.rottentomatoes.com/m/coming_to_america,"Released Jun 29, 1988",73%,85%
Big,https://www.rottentomatoes.com/m/big,"Released Jun 3, 1988",98%,82%
Twins,https://www.rottentomatoes.com/m/twins,2020,,
Die Hard,https://www.rottentomatoes.com/m/die_hard,"Released Jul 15, 1988",94%,94%
The Naked Gun,https://www.rottentomatoes.com/m/the_naked_gun_from_the_files_of_police_squad,"Released Dec 2, 1988",86%,84%
The Naked Gun,https://www.rottentomatoes.com/m/naked_gun_from_the_files_of_police_squad,"Released Dec 2, 1988",86%,84%
Cocktail,https://www.rottentomatoes.com/m/cocktail,"Released Jul 29, 1988",9%,58%
Beetlejuice,https://www.rottentomatoes.com/m/beetlejuice,"Released Mar 30, 1988",86%,82%
Cop,https://www.rottentomatoes.com/m/cop,1988,83%,49%
The Couch Trip,https://www.rottentomatoes.com/m/couch_trip,"Released Jan 8, 1988",33%,44%
For Keeps,https://www.rottentomatoes.com/m/for_keeps,1988,17%,71%
The Telephone,https://www.rottentomatoes.com/m/the_telephone,1988,,44%
The Telephone,https://www.rottentomatoes.com/m/telephone,1988,,44%
Biggles: Adventures in Time,https://www.rottentomatoes.com/m/biggles_adventures_in_time,1986,,47%
The Serpent and the Rainbow,https://www.rottentomatoes.com/m/serpent_and_the_rainbow,"Released Jan 15, 1988",62%,57%
She's Having a Baby,https://www.rottentomatoes.com/m/shes_having_a_baby,1988,44%,51%
The Unbearable Lightness of Being,https://www.rottentomatoes.com/m/the_unbearable_lightness_of_being,"Released Feb 5, 1988",87%,84%
The Unbearable Lightness of Being,https://www.rottentomatoes.com/m/unbearable_lightness_of_being,"Released Feb 5, 1988",87%,84%
Action Jackson,https://www.rottentomatoes.com/m/action_jackson,1988,19%,35%
Satisfaction,https://www.rottentomatoes.com/m/satisfaction,"Released Feb 12, 1988",40%,52%
School Daze,https://www.rottentomatoes.com/m/school_daze,"Released Feb 12, 1988",58%,79%
Shoot to Kill,https://www.rottentomatoes.com/m/shoot_to_kill,1965,,
The In Crowd,https://www.rottentomatoes.com/m/the_in_crowd,"Released Jul 19, 2000",2%,38%
Baja Oklahoma,https://www.rottentomatoes.com/m/baja_oklahoma,1988,,70%
Alien From L.A.,https://www.rottentomatoes.com/m/alien_from_la,"Released Feb 26, 1988",22%,3%
Bloodsport,https://www.rottentomatoes.com/m/bloodsport,1988,48%,74%
Elevator to the Gallows,https://www.rottentomatoes.com/m/frantic,"Released Jun 10, 1958",93%,91%
Hairspray,https://www.rottentomatoes.com/m/hairspray,"Released Jul 20, 2007",92%,84%
Doom Asylum,https://www.rottentomatoes.com/m/doom_asylum,1988,,33%
And God Created Woman,https://www.rottentomatoes.com/m/and_god_created_woman,1956,69%,54%
Babette's Feast,https://www.rottentomatoes.com/m/babettes_feast,"Released Mar 4, 1987",97%,91%
Moving,https://www.rottentomatoes.com/m/moving,2002,67%,
Prison,https://www.rottentomatoes.com/m/prison,1987,40%,34%
Pulse,https://www.rottentomatoes.com/m/pulse,"Released Aug 11, 2006",11%,27%
Switching Channels,https://www.rottentomatoes.com/m/switching_channels,1988,60%,32%
Masquerade,https://www.rottentomatoes.com/m/masquerade,"Released Jul 30, 2021",13%,29%
Off Limits,https://www.rottentomatoes.com/m/off_limits,1988,45%,31%
Stand and Deliver,https://www.rottentomatoes.com/m/stand_and_deliver,"Released Mar 11, 1988",90%,79%
Vice Versa,https://www.rottentomatoes.com/m/vice_versa,1947,,40%
Little Nikita,https://www.rottentomatoes.com/m/little_nikita,1988,53%,45%
The Milagro Beanfield War,https://www.rottentomatoes.com/m/milagro_beanfield_war,"Released Mar 18, 1988",61%,74%
Police Academy 5: Assignment Miami Beach,https://www.rottentomatoes.com/m/police_academy_5_assignment_miami_beach,1988,0%,33%
Stars and Bars,https://www.rottentomatoes.com/m/stars_and_bars,"Released Mar 18, 1988",,42%
Biloxi Blues,https://www.rottentomatoes.com/m/biloxi_blues,1988,76%,63%
Johnny Be Good,https://www.rottentomatoes.com/m/johnny_be_good,"Released Mar 25, 1988",0%,30%
A New Life,https://www.rottentomatoes.com/m/a_new_life,2002,,
The Tracker,https://www.rottentomatoes.com/m/the_tracker,"Released Jan 16, 2004",88%,86%
Tracker,https://www.rottentomatoes.com/m/tracker,2010,85%,53%
Beetlejuice,https://www.rottentomatoes.com/m/beetlejuice,"Released Mar 30, 1988",86%,82%
The Seventh Sign,https://www.rottentomatoes.com/m/seventh_sign,"Released Apr 1, 1988",15%,49%
18 Again!,https://www.rottentomatoes.com/m/18_again,1988,29%,45%
Above the Law,https://www.rottentomatoes.com/m/above_the_law,"Released Apr 8, 1988",50%,48%
Bad Dreams,https://www.rottentomatoes.com/m/bad_dreams,1988,38%,42%
Appointment With Death,https://www.rottentomatoes.com/m/appointment_with_death,1988,,43%
Brain Damage,https://www.rottentomatoes.com/m/brain_damage,"Released Apr 22, 1988",67%,64%
Colors,https://www.rottentomatoes.com/m/colors,2003,,
The Moderns,https://www.rottentomatoes.com/m/the_moderns,"Released May 27, 1988",81%,63%
The Moderns,https://www.rottentomatoes.com/m/moderns,"Released May 27, 1988",81%,63%
Plain Clothes,https://www.rottentomatoes.com/m/plain_clothes,1988,,61%
Return to Snowy River,https://www.rottentomatoes.com/m/return_to_snowy_river,1988,,83%
The Blue Iguana,https://www.rottentomatoes.com/m/blue_iguana,1988,0%,38%
Casual Sex?,https://www.rottentomatoes.com/m/casual_sex,1988,31%,29%
Lady in White,https://www.rottentomatoes.com/m/lady_in_white,"Released Apr 27, 1988",71%,69%
Permanent Record,https://www.rottentomatoes.com/m/permanent_record,"Released Apr 22, 1988",47%,69%
A Time of Destiny,https://www.rottentomatoes.com/m/a_time_of_destiny,1988,,
Two Moon Junction,https://www.rottentomatoes.com/m/two_moon_junction,1988,0%,49%
The Unholy,https://www.rottentomatoes.com/m/the_unholy,1988,25%,45%
Unholy,https://www.rottentomatoes.com/m/unholy,2007,,29%
White Mischief,https://www.rottentomatoes.com/m/white_mischief,1987,80%,54%
Critters 2: The Main Course,https://www.rottentomatoes.com/m/critters_2_the_main_course,1988,38%,37%
Da,https://www.rottentomatoes.com/m/da,1988,64%,
Powaqqatsi,https://www.rottentomatoes.com/m/powaqqatsi,"Released May 3, 1988",56%,81%
Sunset,https://www.rottentomatoes.com/m/sunset,"Released Apr 29, 1988",21%,29%
The House on Carroll Street,https://www.rottentomatoes.com/m/house_on_carroll_street,"Released Mar 4, 1988",71%,27%
Dead Heat,https://www.rottentomatoes.com/m/dead_heat,"Released May 6, 1988",11%,48%
Jack's Back,https://www.rottentomatoes.com/m/jacks_back,1988,71%,38%
Judgment in Berlin,https://www.rottentomatoes.com/m/judgment_in_berlin,1988,20%,41%
Salsa,https://www.rottentomatoes.com/m/salsa,"Released May 6, 1988",20%,79%
Shakedown,https://www.rottentomatoes.com/m/shakedown,1950,,
Wings of Desire,https://www.rottentomatoes.com/m/wings_of_desire,"Released Jan 1, 1987",95%,93%
Maniac Cop,https://www.rottentomatoes.com/m/maniac_cop,"Released May 13, 1988",56%,41%
The Nest,https://www.rottentomatoes.com/m/the_nest,2016,,
Nest,https://www.rottentomatoes.com/m/nest,2021,,
Not of This Earth,https://www.rottentomatoes.com/m/not_of_this_earth,1995,,
Aria,https://www.rottentomatoes.com/m/aria,"Released Jul 14, 1987",57%,47%
Call Me,https://www.rottentomatoes.com/m/call_me,1988,,20%
Rikky and Pete,https://www.rottentomatoes.com/m/rikky_and_pete,"Released May 20, 1988",,50%
Willow,https://www.rottentomatoes.com/m/willow,"Released May 20, 1988",53%,80%
Rambo III,https://www.rottentomatoes.com/m/rambo_iii,"Released May 25, 1988",41%,45%
Killer Klowns From Outer Space,https://www.rottentomatoes.com/m/killer_klowns_from_outer_space,"Released May 27, 1988",78%,60%
Clinton and Nadine,https://www.rottentomatoes.com/m/clinton_and_nadine,1988,,11%
Big,https://www.rottentomatoes.com/m/big,"Released Jun 3, 1988",98%,82%
Funny Farm,https://www.rottentomatoes.com/m/funny_farm,1983,,
Big Business,https://www.rottentomatoes.com/m/big_business,"Released Jun 10, 1988",52%,69%
Poltergeist III,https://www.rottentomatoes.com/m/poltergeist_iii,1988,16%,22%
The Presidio,https://www.rottentomatoes.com/m/presidio,1988,41%,33%
Puss in Boots,https://www.rottentomatoes.com/m/puss_in_boots,2015,,
Bull Durham,https://www.rottentomatoes.com/m/bull_durham,"Released Jun 15, 1988",97%,82%
The Great Outdoors,https://www.rottentomatoes.com/m/great_outdoors,1988,40%,71%
Red Heat,https://www.rottentomatoes.com/m/red_heat,1985,,28%
Waxwork,https://www.rottentomatoes.com/m/waxwork,1988,60%,47%
Who Framed Roger Rabbit,https://www.rottentomatoes.com/m/who_framed_roger_rabbit,"Released Jun 21, 1988",96%,85%
Coming to America,https://www.rottentomatoes.com/m/coming_to_america,"Released Jun 29, 1988",73%,85%
License to Drive,https://www.rottentomatoes.com/m/license_to_drive,1988,24%,61%
Short Circuit 2,https://www.rottentomatoes.com/m/short_circuit_2,1988,38%,54%
Arthur 2: On the Rocks,https://www.rottentomatoes.com/m/arthur_2_on_the_rocks,"Released Jul 8, 1988",13%,30%
Phantasm II,https://www.rottentomatoes.com/m/phantasm_ii,"Released Jul 8, 1988",33%,57%
The Dead Pool,https://www.rottentomatoes.com/m/the_dead_pool,1988,53%,44%
The Dead Pool,https://www.rottentomatoes.com/m/dead_pool,1988,53%,44%
Bambi,https://www.rottentomatoes.com/m/bambi,"Released Aug 21, 1942",91%,73%
Die Hard,https://www.rottentomatoes.com/m/die_hard,"Released Jul 15, 1988",94%,94%
A Fish Called Wanda,https://www.rottentomatoes.com/m/a_fish_called_wanda,"Released Jul 15, 1988",96%,84%
Midnight Run,https://www.rottentomatoes.com/m/midnight_run,"Released Jul 11, 1988",95%,87%
Big Top Pee-wee,https://www.rottentomatoes.com/m/big_top_peewee,"Released Jul 22, 1988",36%,30%
Caddyshack II,https://www.rottentomatoes.com/m/caddyshack_ii,"Released Jul 22, 1988",4%,17%
Mr. North,https://www.rottentomatoes.com/m/mr_north,1988,50%,38%
Cocktail,https://www.rottentomatoes.com/m/cocktail,"Released Jul 29, 1988",9%,58%
Monkey Shines,https://www.rottentomatoes.com/m/monkey_shines,"Released Jul 29, 1988",53%,41%
The New Adventures of Pippi Longstocking,https://www.rottentomatoes.com/m/new_adventures_of_pippi_longstocking,1988,17%,68%
The Blob,https://www.rottentomatoes.com/m/the_blob,"Released Sep 12, 1958",68%,52%
The Blob,https://www.rottentomatoes.com/m/blob,"Released Sep 12, 1958",68%,52%
The Rescue,https://www.rottentomatoes.com/m/the_rescue,1971,,
The Rescue,https://www.rottentomatoes.com/m/rescue,"Released Aug 5, 1988",,68%
Vibes,https://www.rottentomatoes.com/m/vibes,1988,13%,62%
Clean and Sober,https://www.rottentomatoes.com/m/clean_and_sober,"Released Aug 10, 1988",53%,62%
The Last Temptation of Christ,https://www.rottentomatoes.com/m/last_temptation_of_christ,"Released Aug 12, 1988",82%,84%
Mac and Me,https://www.rottentomatoes.com/m/mac_and_me,"Released Aug 12, 1988",7%,38%
Tucker: The Man and His Dream,https://www.rottentomatoes.com/m/tucker_the_man_and_his_dream,"Released Aug 12, 1988",81%,68%
Young Guns,https://www.rottentomatoes.com/m/young_guns,"Released Aug 12, 1988",43%,76%
Married to the Mob,https://www.rottentomatoes.com/m/married_to_the_mob,"Released Aug 19, 1988",88%,49%
A Nightmare on Elm Street 4: The Dream Master,https://www.rottentomatoes.com/m/a_nightmare_on_elm_street_4_the_dream_master,"Released Aug 19, 1988",57%,43%
Crossing Delancey,https://www.rottentomatoes.com/m/crossing_delancey,"Released Sep 16, 1988",80%,77%
The Thin Blue Line,https://www.rottentomatoes.com/m/thin_blue_line,"Released Aug 25, 1988",100%,90%
The Betrayed,https://www.rottentomatoes.com/m/betrayed,2008,,33%
Hero and the Terror,https://www.rottentomatoes.com/m/hero_and_the_terror,1988,0%,38%
Hot to Trot,https://www.rottentomatoes.com/m/hot_to_trot,"Released Aug 26, 1988",0%,40%
Stealing Home,https://www.rottentomatoes.com/m/stealing_home,"Released Aug 26, 1988",20%,78%
The Deceivers,https://www.rottentomatoes.com/m/the_deceivers,"Released Sep 2, 1988",33%,64%
The Deceivers,https://www.rottentomatoes.com/m/deceivers,"Released Sep 2, 1988",33%,64%
Eight Men Out,https://www.rottentomatoes.com/m/eight_men_out,"Released Sep 2, 1988",87%,79%
Rocket Gibraltar,https://www.rottentomatoes.com/m/rocket_gibraltar,"Released Sep 2, 1988",,58%
Moon Over Parador,https://www.rottentomatoes.com/m/moon_over_parador,1988,42%,46%
Running on Empty,https://www.rottentomatoes.com/m/running_on_empty,"Released Sep 9, 1988",81%,69%
Track 29,https://www.rottentomatoes.com/m/track_29,"Released Jul 12, 1988",63%,44%
War Party,https://www.rottentomatoes.com/m/war_party,1989,0%,77%
The Beast,https://www.rottentomatoes.com/m/the_beast,2011,,
Beast,https://www.rottentomatoes.com/m/beast,"Released May 11, 2018",92%,73%
Doin' Time on Planet Earth,https://www.rottentomatoes.com/m/doin_time_on_planet_earth,1988,,44%
Messenger of Death,https://www.rottentomatoes.com/m/messenger_of_death,"Released Sep 16, 1988",,24%
Miles From Home,https://www.rottentomatoes.com/m/miles_from_home,1988,60%,59%
The Prince of Pennsylvania,https://www.rottentomatoes.com/m/prince_of_pennsylvania,1988,14%,49%
Tougher Than Leather,https://www.rottentomatoes.com/m/tougher_than_leather,1988,,38%
Dead Ringers,https://www.rottentomatoes.com/m/dead_ringers,"Released Sep 23, 1988",85%,82%
Gorillas in the Mist,https://www.rottentomatoes.com/m/gorillas_in_the_mist,"Released Sep 23, 1988",84%,75%
Kansas,https://www.rottentomatoes.com/m/kansas,1995,,
Patty Hearst,https://www.rottentomatoes.com/m/patty_hearst,1988,57%,51%
Spellbinder,https://www.rottentomatoes.com/m/spellbinder,"Released Sep 23, 1988",,37%
Sweet Hearts Dance,https://www.rottentomatoes.com/m/sweet_hearts_dance,"Released Sep 23, 1988",44%,35%
Tiger Warsaw,https://www.rottentomatoes.com/m/tiger_warsaw,1988,,27%
Daffy Duck's Quackbusters,https://www.rottentomatoes.com/m/daffy_ducks_quackbusters,"Released Sep 24, 1988",,71%
Bird,https://www.rottentomatoes.com/m/bird,"Released Sep 30, 1988",77%,79%
"Elvira, Mistress of the Dark",https://www.rottentomatoes.com/m/elvira_mistress_of_the_dark,1988,56%,66%
Heartbreak Hotel,https://www.rottentomatoes.com/m/heartbreak_hotel,1988,38%,49%
Alien Nation,https://www.rottentomatoes.com/m/alien_nation,"Released Oct 7, 1988",53%,44%
Clara's Heart,https://www.rottentomatoes.com/m/claras_heart,"Released Oct 7, 1988",47%,59%
Imagine: John Lennon,https://www.rottentomatoes.com/m/imagine_john_lennon,1988,91%,91%
Memories of Me,https://www.rottentomatoes.com/m/memories_of_me,"Released Oct 12, 1988",,46%
Punchline,https://www.rottentomatoes.com/m/punchline,"Released Sep 7, 1988",60%,43%
The Accused,https://www.rottentomatoes.com/m/the_accused,2018,,
Accused,https://www.rottentomatoes.com/m/accused,2023,100%,
The Kiss,https://www.rottentomatoes.com/m/the_kiss,2008,,
Kiss,https://www.rottentomatoes.com/m/kiss,2019,,
Another Woman,https://www.rottentomatoes.com/m/another_woman,1988,59%,75%
Madame Sousatzka,https://www.rottentomatoes.com/m/madame_sousatzka,1988,78%,65%
Night of the Demons,https://www.rottentomatoes.com/m/night_of_the_demons,"Released Oct 14, 1988",43%,58%
Pumpkinhead,https://www.rottentomatoes.com/m/pumpkinhead,"Released Jan 13, 1988",65%,49%
Scooby-Doo and the Ghoul School,https://www.rottentomatoes.com/m/scoobydoo_and_the_ghoul_school,1988,,69%
Lip Service,https://www.rottentomatoes.com/m/lip_service,1988,,
Halloween 4: The Return of Michael Myers,https://www.rottentomatoes.com/m/halloween_4_the_return_of_michael_myers,"Released Oct 21, 1988",39%,53%
Mystic Pizza,https://www.rottentomatoes.com/m/mystic_pizza,"Released Oct 14, 1988",78%,55%
Tapeheads,https://www.rottentomatoes.com/m/tapeheads,1988,60%,46%
Things Change,https://www.rottentomatoes.com/m/things_change,1988,85%,80%
Without a Clue,https://www.rottentomatoes.com/m/without_a_clue,"Released Oct 20, 1988",62%,72%
F.E.D.S.,https://www.rottentomatoes.com/m/feds,2004,,
Everybody's All-American,https://www.rottentomatoes.com/m/everybodys_allamerican,1988,44%,47%
The Good Mother,https://www.rottentomatoes.com/m/the_good_mother,"Released Sep 1, 2023",22%,35%
The Good Mother,https://www.rottentomatoes.com/m/good_mother,"Released Nov 4, 1988",54%,28%
U2 Rattle and Hum,https://www.rottentomatoes.com/m/u2_rattle_and_hum,"Released Jan 1, 1988",62%,86%
They Live,https://www.rottentomatoes.com/m/they_live,"Released Nov 23, 1988",86%,80%
Child's Play,https://www.rottentomatoes.com/m/childs_play,"Released Nov 9, 1988",74%,65%
Ernest Saves Christmas,https://www.rottentomatoes.com/m/ernest_saves_christmas,"Released Nov 11, 1988",36%,43%
Far North,https://www.rottentomatoes.com/m/far_north,2007,86%,46%
Spike of Bensonhurst,https://www.rottentomatoes.com/m/spike_of_bensonhurst,1988,50%,62%
Split Decisions,https://www.rottentomatoes.com/m/split_decisions,1988,,24%
Scooby and the Reluctant Werewolf,https://www.rottentomatoes.com/m/scoobydoo_and_the_reluctant_werewolf,1988,20%,61%
Cherry 2000,https://www.rottentomatoes.com/m/cherry_2000,1988,38%,41%
The Chocolate War,https://www.rottentomatoes.com/m/the_chocolate_war,2022,,
The Chocolate War,https://www.rottentomatoes.com/m/chocolate_war,"Released Nov 18, 1988",85%,67%
Fresh Horses,https://www.rottentomatoes.com/m/fresh_horses,"Released Nov 18, 1988",0%,33%
High Spirits,https://www.rottentomatoes.com/m/high_spirits,1988,31%,58%
The Land Before Time,https://www.rottentomatoes.com/m/land_before_time,"Released Nov 18, 1988",65%,79%
1969,https://www.rottentomatoes.com/m/1969,1988,55%,44%
Oliver & Company,https://www.rottentomatoes.com/m/oliver_and_company,"Released Nov 18, 1988",53%,62%
Buster,https://www.rottentomatoes.com/m/buster,2008,,
Cocoon: The Return,https://www.rottentomatoes.com/m/cocoon_the_return,"Released Nov 23, 1988",31%,34%
Full Moon in Blue Water,https://www.rottentomatoes.com/m/full_moon_in_blue_water,"Released Nov 23, 1988",27%,25%
Hanna's War,https://www.rottentomatoes.com/m/hannas_war,"Released Nov 11, 1988",,55%
Scrooged,https://www.rottentomatoes.com/m/scrooged,"Released Nov 23, 1988",71%,71%
Dakota,https://www.rottentomatoes.com/m/dakota,"Released Apr 1, 2022",22%,67%
The Naked Gun,https://www.rottentomatoes.com/m/the_naked_gun_from_the_files_of_police_squad,"Released Dec 2, 1988",86%,84%
The Naked Gun,https://www.rottentomatoes.com/m/naked_gun_from_the_files_of_police_squad,"Released Dec 2, 1988",86%,84%
Tequila Sunrise,https://www.rottentomatoes.com/m/tequila_sunrise,"Released Dec 2, 1988",53%,40%
Watchers,https://www.rottentomatoes.com/m/watchers,1988,0%,31%
Mississippi Burning,https://www.rottentomatoes.com/m/mississippi_burning,"Released Jan 27, 1989",79%,90%
My Stepmother Is an Alien,https://www.rottentomatoes.com/m/my_stepmother_is_an_alien,"Released Dec 3, 1988",20%,30%
Twins,https://www.rottentomatoes.com/m/twins,2020,,
The Christmas Wife,https://www.rottentomatoes.com/m/the_christmas_wife,1988,,33%
The Christmas Wife,https://www.rottentomatoes.com/m/christmas_wife,1988,,33%
Dirty Rotten Scoundrels,https://www.rottentomatoes.com/m/dirty_rotten_scoundrels,1988,89%,84%
I'm Gonna Git You Sucka,https://www.rottentomatoes.com/m/im_gonna_git_you_sucka,"Released Dec 1, 1988",62%,70%
Torch Song Trilogy,https://www.rottentomatoes.com/m/torch_song_trilogy,1988,77%,91%
The Purple People Eater,https://www.rottentomatoes.com/m/purple_people_eater,1988,,59%
Rain Man,https://www.rottentomatoes.com/m/rain_man,"Released Dec 14, 1988",88%,90%
Dead Solid Perfect,https://www.rottentomatoes.com/m/dead_solid_perfect,1988,,88%
Beaches,https://www.rottentomatoes.com/m/beaches,"Released Dec 21, 1988",42%,88%
Talk Radio,https://www.rottentomatoes.com/m/talk_radio,"Released Dec 23, 1988",82%,80%
Working Girl,https://www.rottentomatoes.com/m/working_girl,"Released Dec 21, 1988",83%,67%
The Accidental Tourist,https://www.rottentomatoes.com/m/accidental_tourist,"Released Jan 6, 1989",82%,60%
The Boost,https://www.rottentomatoes.com/m/boost,"Released Dec 23, 1989",40%,49%
Dominick and Eugene,https://www.rottentomatoes.com/m/dominick_and_eugene,1988,78%,73%
Hellbound: Hellraiser II,https://www.rottentomatoes.com/m/hellbound_hellraiser_ii,1988,53%,58%
Indiana Jones and the Last Crusade,https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade,"Released May 24, 1989",84%,94%
Lethal Weapon 2,https://www.rottentomatoes.com/m/lethal_weapon_2,"Released Jul 7, 1989",82%,78%
Look Who's Talking,https://www.rottentomatoes.com/m/look_whos_talking,1989,58%,47%
"Honey, I Shrunk the Kids",https://www.rottentomatoes.com/m/honey_i_shrunk_the_kids,"Released Jun 23, 1989",76%,54%
Driving Miss Daisy,https://www.rottentomatoes.com/m/driving_miss_daisy,"Released Dec 13, 1989",85%,81%
Parenthood,https://www.rottentomatoes.com/m/parenthood,"Released Jul 31, 1989",92%,76%
Dead Poets Society,https://www.rottentomatoes.com/m/dead_poets_society,"Released Jun 2, 1989",84%,92%
Cameron's Closet,https://www.rottentomatoes.com/m/camerons_closet,1987,,18%
DeepStar Six,https://www.rottentomatoes.com/m/deepstar_six,"Released Jan 13, 1989",15%,27%
The Experts,https://www.rottentomatoes.com/m/experts,1989,,30%
Gleaming the Cube,https://www.rottentomatoes.com/m/gleaming_the_cube,"Released Jan 13, 1989",29%,68%
The January Man,https://www.rottentomatoes.com/m/january_man,1988,28%,29%
Cohen and Tate,https://www.rottentomatoes.com/m/cohen_and_tate,1988,,58%
Parents,https://www.rottentomatoes.com/m/parents,"Released Jan 27, 1989",63%,54%
Physical Evidence,https://www.rottentomatoes.com/m/physical_evidence,1989,22%,11%
Three Fugitives,https://www.rottentomatoes.com/m/three_fugitives,1989,14%,50%
Her Alibi,https://www.rottentomatoes.com/m/her_alibi,"Released Feb 3, 1989",17%,44%
Kinjite: Forbidden Subjects,https://www.rottentomatoes.com/m/kinjite_forbidden_subjects,"Released Feb 3, 1989",0%,35%
Who's Harry Crumb?,https://www.rottentomatoes.com/m/whos_harry_crumb,"Released Feb 3, 1989",27%,46%
Wicked Stepmother,https://www.rottentomatoes.com/m/wicked_stepmother,"Released Feb 3, 1989",,19%
Cousins,https://www.rottentomatoes.com/m/cousins,"Released Feb 10, 1989",56%,68%
The Fly II,https://www.rottentomatoes.com/m/fly_ii,1989,33%,24%
Tap,https://www.rottentomatoes.com/m/tap,1989,56%,70%
Lawrence of Arabia,https://www.rottentomatoes.com/m/lawrence_of_arabia,In Theaters Sun Aug 11,93%,93%
Bill & Ted's Excellent Adventure,https://www.rottentomatoes.com/m/bill_and_teds_excellent_adventure,"Released Feb 17, 1989",83%,75%
The 'Burbs,https://www.rottentomatoes.com/m/the_burbs,"Released Feb 17, 1989",56%,71%
The 'Burbs,https://www.rottentomatoes.com/m/burbs,"Released Feb 17, 1989",56%,71%
The Mighty Quinn,https://www.rottentomatoes.com/m/mighty_quinn,"Released Feb 17, 1989",89%,48%
True Believer,https://www.rottentomatoes.com/m/true_believer,"Released Feb 17, 1989",96%,63%
American Ninja 3: Blood Hunt,https://www.rottentomatoes.com/m/american_ninja_3_blood_hunt,"Released Feb 24, 1989",,19%
"Bert Rigby, You're a Fool",https://www.rottentomatoes.com/m/bert_rigby_youre_a_fool,1989,40%,58%
Pepper's Pow Wow,https://www.rottentomatoes.com/m/powwow_highway,1996,100%,85%
Hit List,https://www.rottentomatoes.com/m/hit_list,1989,,11%
Dream a Little Dream,https://www.rottentomatoes.com/m/dream_a_little_dream,"Released Mar 3, 1989",9%,67%
Farewell to the King,https://www.rottentomatoes.com/m/farewell_to_the_king,"Released Mar 3, 1989",55%,54%
Lean on Me,https://www.rottentomatoes.com/m/lean_on_me,"Released Mar 3, 1989",68%,85%
Skin Deep,https://www.rottentomatoes.com/m/skin_deep,1994,,
The Adventures of Baron Munchausen,https://www.rottentomatoes.com/m/adventures_of_baron_munchausen,"Released Mar 10, 1989",90%,82%
Chances Are,https://www.rottentomatoes.com/m/chances_are,"Released Mar 10, 1989",67%,65%
Jacknife,https://www.rottentomatoes.com/m/jacknife,1989,64%,48%
New York Stories,https://www.rottentomatoes.com/m/new_york_stories,"Released Mar 10, 1989",76%,56%
Police Academy 6: City Under Siege,https://www.rottentomatoes.com/m/police_academy_6_city_under_siege,1989,0%,28%
Dead Man Out,https://www.rottentomatoes.com/m/dead_man_out,1989,,38%
Fletch Lives,https://www.rottentomatoes.com/m/fletch_lives,"Released Mar 17, 1989",35%,55%
